cityName,country,lat,lng,temp,minTemp,maxTemp,seaLevel,grndLevel,humidity,cloudiness,winds,windDegrees
Ahuimanu,US,21.44,-157.84,80.02,77.0,82.04,,,66,40,12.75,70.0
Colon,US,41.3,-96.61,24.49,23.0,24.98,,,56,90,14.99,330.0
Abilene,US,32.45,-99.73,33.66,33.26,33.98,,,69,90,19.46,360.0
Ketchikan,US,55.34,-131.65,50.38,46.04,53.96,,,73,1,9.17,60.0
Kapaa,US,22.08,-159.32,79.86,78.98,80.96,,,49,75,13.87,60.0
Tucumcari,US,35.17,-103.73,30.92,30.92,30.92,,,63,90,9.17,70.0
North Bend,US,43.41,-124.22,64.94,64.94,64.94,,,26,1,2.8,111.001
North Platte,US,41.12,-100.77,32.0,32.0,32.0,,,37,1,12.75,350.0
Bethel,US,60.79,-161.76,23.0,23.0,23.0,,,95,75,13.87,30.0
New Castle,US,41.0,-80.35,39.25,35.96,42.08,,,55,90,3.36,140.0
Warren,US,42.48,-83.03,40.33,38.48,42.08,,,49,90,3.36,220.0
Lewiston,US,46.42,-117.02,41.61,41.0,42.08,,,52,1,6.93,140.0
Juneau,US,58.3,-134.42,43.75,42.08,44.96,,,85,90,14.99,100.0
Kodiak,US,39.95,-94.76,26.96,26.96,26.96,,,68,90,18.34,350.0
Ukiah,US,39.15,-123.21,68.0,68.0,68.0,,,9,1,2.64,100.501
Pacific Grove,US,36.62,-121.92,73.15,68.0,75.92,,,15,1,1.86,100.001
Port Huron,US,42.98,-82.44,40.86,40.64,41.0,,,60,90,8.46,231.001
Marion,US,38.35,-97.02,25.59,24.98,26.06,,,74,90,20.8,360.0
Astoria,US,46.19,-123.83,60.98,60.98,60.98,,,30,1,11.41,90.0
Destin,US,30.39,-86.5,74.7,73.04,75.92,,,93,90,9.17,200.0
Pleasanton,US,37.66,-121.87,66.58,64.4,69.8,,,34,1,4.09,65.0015
Nampa,US,43.57,-116.56,45.07,44.06,46.4,,,24,1,3.42,186.501
Fairmont,US,40.64,-97.59,24.53,23.0,25.52,,,57,20,17.22,360.0
Santa Barbara,US,34.42,-119.7,77.49,75.02,78.98,,,11,1,10.29,230.0
Hilo,US,19.71,-155.08,71.64,68.36,75.92,,,76,90,8.05,260.0
Elko,US,40.83,-115.76,41.0,41.0,41.0,,,28,1,2.35,288.501
Venice,US,27.1,-82.45,82.45,82.04,82.94,,,74,1,8.05,200.0
Merrill,US,42.03,-121.6,53.96,53.96,53.96,,,14,1,3.65,92.0015
Ada,US,47.3,-96.52,11.8,8.6,14.0,,,56,1,6.93,300.0
Lively,US,33.6,-99.18,36.15,36.15,36.15,1043.91,998.54,80,88,26.13,7.50146
Steamboat Springs,US,40.48,-106.83,27.03,21.2,30.92,,,37,40,4.7,350.0
Kahului,US,20.89,-156.47,80.28,75.92,84.92,,,49,20,17.22,50.0
Rexburg,US,43.82,-111.79,32.83,28.04,35.96,,,30,1,5.82,
Fairbanks,US,64.84,-147.72,26.17,23.36,28.94,,,94,90,6.26,20.0015
Elizabeth City,US,36.3,-76.22,54.73,51.98,57.38,,,93,90,5.82,116.501
Conway,US,35.09,-92.44,42.46,39.2,44.6,,,86,90,4.7,320.0
Morgan City,US,29.7,-91.21,63.34,60.98,66.2,,,100,90,7.16,257.501
Durango,US,37.28,-107.88,35.19,30.92,37.94,,,51,20,12.75,280.0
Half Moon Bay,US,37.46,-122.43,66.83,64.4,69.8,,,34,1,2.91,50.5015
Virginia Beach,US,36.85,-75.98,53.04,50.18,55.94,,,93,90,6.93,90.0
Lady Lake,US,28.92,-81.92,82.63,80.6,84.92,,,69,40,3.36,260.0
Marquette,US,46.54,-87.4,26.92,23.0,28.94,,,79,90,10.29,310.0
Lompoc,US,34.64,-120.46,74.73,70.34,77.0,,,11,1,10.29,230.0
Lebanon,US,43.64,-72.25,40.39,37.94,42.98,,,56,1,4.7,170.0
Storm Lake,US,42.64,-95.21,22.28,21.2,23.72,,,57,75,17.22,340.0
Russellville,US,35.28,-93.13,42.08,42.08,42.08,,,67,90,16.11,10.0
Havelock,US,34.88,-76.9,60.13,55.04,69.08,,,93,90,10.29,70.0
Eureka,US,40.8,-124.16,58.75,55.94,62.6,,,45,1,4.7,320.0
El Campo,US,29.2,-96.27,51.66,49.1,53.06,,,82,90,14.99,330.0
Blytheville,US,35.93,-89.92,41.94,41.0,42.8,,,93,100,12.75,360.0
Mastic Beach,US,40.77,-72.85,47.1,45.68,48.02,,,67,1,8.34,202.501
Ponca City,US,36.73,-97.07,28.53,26.96,30.02,,,71,90,26.4,360.0
Rawlins,US,41.79,-107.24,23.79,23.0,24.98,,,54,75,16.11,280.0
Lander,US,42.83,-108.73,28.17,26.06,30.02,,,54,1,3.36,120.0
Anchorage,US,61.22,-149.89,35.49,33.8,37.04,,,92,75,10.18,95.0015
Sitka,US,37.17,-99.65,28.59,28.59,28.59,1049.83,971.22,76,64,21.36,1.50146
Grass Valley,US,39.22,-121.06,63.54,57.92,66.38,,,12,1,6.93,290.0
Saint Joseph,US,39.77,-94.85,26.96,26.96,26.96,,,68,90,18.34,350.0
Shawnee,US,35.33,-96.93,28.72,28.04,30.2,,,86,90,17.22,360.0
Bolivar,US,37.61,-93.41,28.04,28.04,28.04,,,81,90,19.46,350.0
Old Orchard Beach,US,43.52,-70.38,41.45,39.02,42.98,,,59,1,5.82,231.501
Mandan,US,46.83,-100.89,19.31,17.6,21.02,,,61,90,3.36,280.0
Mount Pleasant,US,33.16,-94.97,42.22,41.0,43.34,,,89,90,17.22,340.0
